_id,Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
ObjectId("5e8d4f4b9be312a2b401cc23"),2013-14,NBA,Boston Celtics,25,57,0.305,4th of 5,-4.97,93.3,-0.6,102.9,-3.8,107.7,1,,B. Stevens (25-57),B. Bass (5.1),2
ObjectId("5e8d4f4b9be312a2b401cc24"),1998-99,NBA,Boston Celtics,19,31,0.38,5th of 7,-1.75,91.5,2.6,100.4,-1.8,102.4,0.2,,R. Pitino (19-31),P. Pierce (4.9),2
ObjectId("5e8d4f4b9be312a2b401cc25"),1992-93,NBA,Boston Celtics*,48,34,0.585,2nd of 7,0.93,94.9,-1.9,108.7,0.7,107.8,-0.2,Lost E. Conf. 1st Rnd.,C. Ford (48-34),R. Lewis (8.3),2
ObjectId("5e8d4f4b9be312a2b401cc26"),2011-12,NBA,Boston Celtics*,39,27,0.591,1st of 5,2.26,90.4,-0.9,101,-3.6,98.2,-6.4,Lost E. Conf. Finals,D. Rivers (39-27),P. Pierce (7.0),2
ObjectId("5e8d4f4b9be312a2b401cc27"),2015-16,NBA,Boston Celtics*,48,34,0.585,2nd of 5,2.84,98.5,2.7,106.8,0.4,103.6,-2.8,Lost E. Conf. 1st Rnd.,B. Stevens (48-34),I. Thomas (9.7),2
ObjectId("5e8d4f4b9be312a2b401cc28"),2017-18,NBA,Boston Celtics*,55,27,0.671,2nd of 5,3.23,96,-1.3,107.6,-1,103.9,-4.7,Lost E. Conf. Finals,B. Stevens (55-27),K. Irving (8.9),2
ObjectId("5e8d4f4b9be312a2b401cc29"),1991-92,NBA,Boston Celtics*,51,31,0.622,1st of 7,3.41,95.8,-0.8,110.8,2.6,107,-1.2,Lost E. Conf. Semis,C. Ford (51-31),R. Lewis (9.1),2
ObjectId("5e8d4f4b9be312a2b401cc2a"),1988-89,NBA,Boston Celtics*,42,40,0.512,3rd of 6,1.26,98.1,-2.5,110.8,3,109.6,1.8,Lost E. Conf. 1st Rnd.,J. Rodgers (42-40),R. Parish (10.5),2
ObjectId("5e8d4f4b9be312a2b401cc2b"),1987-88,NBA,Boston Celtics*,57,25,0.695,1st of 5,6.15,97.9,-1.7,115.4,7.4,109.4,1.4,Lost E. Conf. Finals,K. Jones (57-25),L. Bird (15.0),2
ObjectId("5e8d4f4b9be312a2b401cc2c"),1989-90,NBA,Boston Celtics*,52,30,0.634,2nd of 6,3.23,98.2,-0.1,112,3.9,107.9,-0.2,Lost E. Conf. 1st Rnd.,J. Rodgers (52-30),K. McHale (11.1),2
ObjectId("5e8d4f4b9be312a2b401cc2d"),1985-86,NBA,Boston Celtics*,67,15,0.817,1st of 5,9.06,101.2,-0.9,111.8,4.6,102.6,-4.6,Won Finals,K. Jones (67-15),L. Bird (15.8),2
